Date,Open,High,Low,Close,Total Trade Quantity
12-Sep-17,913.85,919.95,909.15,917.6,3343840
13-Sep-17,917.5,924.5,912,920.92,2497688
14-Sep-17,920.08,926.25,915.75,919.7,4077008
15-Sep-17,918,925.9,916.72,924.47,1883666
18-Sep-17,926.78,932.22,926.25,930.22,2042464
19-Sep-17,932.45,934,923.78,924.85,2120734
20-Sep-17,924,930.72,922.62,924.42,1723064
21-Sep-17,924,924.25,915.35,919.55,3856248
22-Sep-17,917.4,919.47,910,912.05,4121762
25-Sep-17,911.22,911.22,896.3,899.88,5074614
26-Sep-17,894.53,898.3,892.5,896.15,5719366
27-Sep-17,898,902.8,885,888.25,3668610
28-Sep-17,887,899.5,881.65,897.65,13823232
29-Sep-17,900.05,911,898.12,902.85,3106816
03-Oct-17,904,910.5,898.55,904.42,2197212
04-Oct-17,903.95,905.95,896.67,898.5,3312552
05-Oct-17,897.5,902.5,896.55,899.3,1668098
06-Oct-17,899,902.22,897,900.05,1515330
09-Oct-17,899.4,901.5,895.25,897.75,1531246
10-Oct-17,899.5,907.47,896.33,901.35,1899090
11-Oct-17,901.62,907.62,893.8,895.08,2633720
12-Oct-17,897.55,910.72,894,909.4,2690780
13-Oct-17,913.35,928.28,911,925.4,3216732
16-Oct-17,930,936.62,921,928.58,1637272
17-Oct-17,925,926.85,919.55,925.62,1306644
18-Oct-17,920.5,937.5,919.5,934.25,1963360
19-Oct-17,930.9,932.5,920.33,924.2,285004
23-Oct-17,929.95,934.85,918.03,931.65,2081446
24-Oct-17,931.5,939.8,926.5,933.55,5664436
25-Oct-17,930,931.5,892.5,897.55,10683604
26-Oct-17,884,905,878.92,897.67,14285732
27-Oct-17,902.2,903.75,889.5,895.53,3736044
30-Oct-17,899.12,908,896.2,907.5,2711176
31-Oct-17,905.75,905.75,899.62,904.25,2341230
01-Nov-17,907.55,912.5,906,910.6,2095306
02-Nov-17,911.5,914.9,908.47,911.05,2368972
03-Nov-17,912.85,920,910.8,915.35,1905244
06-Nov-17,912.5,920,911.3,914.3,3074122
07-Nov-17,919,922.47,910.38,911.85,3723188
08-Nov-17,912.6,916.8,909.5,912.97,1641572
09-Nov-17,913.5,917.5,910.55,913.92,1556654
10-Nov-17,910.85,917.4,906.17,911,3872180
13-Nov-17,911,911.58,897.5,906.78,1667936
14-Nov-17,907.95,909.5,900,901.17,2356234
15-Nov-17,899,901.83,894,900.12,3074184
16-Nov-17,902,908,897.6,903.85,2006486
17-Nov-17,914.35,919.15,906.58,912.78,3179386
20-Nov-17,914.5,919.85,914.5,919.08,1196212
21-Nov-17,918.72,925,918.05,923.12,1137766
22-Nov-17,924.85,930,922.28,927.62,2830398
23-Nov-17,929.5,930,919,921.42,1616290
24-Nov-17,921.5,928.9,920.5,925.7,2601842
27-Nov-17,924.5,931,922.8,928.78,1935236
